# AIST/GSJ, Geochemical Map of Hot Spring Waters (GRES-DB ONSEN 2020), gbank.gsj.jp/gres-db
# source:    https://gbank.gsj.jp/gres-db/download/onsen/GSJ_DB_GRES-DB_ONSEN_2020.zip
# sha256:    09ceca4ebf6a4ba366c6093845f190b95e2fd3a2ad7c7d97f0ac074bc4a68cab
# licence:   政府標準利用規約 第2.0版 (CC BY 4.0 compatible), attribution required
# generated: scripts/fetch-aist.mjs -- do not edit by hand
#
# Positions are the AREA CENTROID of the polygon each row publishes. Every
# cell in this file is 187-191 m across, which is a publisher privacy
# choice rather than GPS scatter. The centroid is a distance key only: it
# must never be written to a record location or used to mint a pin.
ser	onsenName	sourceName	prefecture	lat	lng	measuredAt	celsius	unit	ph	tds	sodium	calcium	magnesium	iron	chloride	sulfate	bicarbonate	silica
34	養老牛温泉	養老牛温泉B	北海道	43.58839473484858	144.72263734609425	1978	78.2	mg/l	7.3	1671	412.8	129.4	2.1	0.07	481.1	433.5	54.9	93
35	養老牛温泉	中標津営林署	北海道	43.58798578918883	144.7143201427918	1978	62.1	mg/l	7.6	1756	344.5	181.9	3.3	0.05	382.5	624.9	97.6	63.3
36	養老牛温泉	花山荘	北海道	43.588481861650344	144.72255333099423	1978	84.3	mg/l	7	1648	383.6	117.7	9.1	0.12	472.6	435	98.8	91.3
37	養老牛温泉	グリーンようろうし	北海道	43.58801517133708	144.71411365034078	1978	80.3	mg/l	6.9	1727	404	127.8	5.7	0.08	498.8	432.2	115.3	88.3
38	養老牛温泉		北海道	43.58841404711742	144.7225154788459	1993	77.4	mg/l	7.1	1700	380	130	1.8	0.14	530	440	56	92
39	有毒温泉	有毒温泉B	北海道	43.683158621757585	142.887029877206	1962	42	mg/l	3	466	63	21.4	10.3	0.5	111.5	124.3		110
40	有毒温泉	有毒温泉A	北海道	43.68319727059888	142.88704563960772	1962	72	mg/l	3	716	217	58	20	0.05	380.4	273.2		110
41	有毒温泉	有毒温泉-8	北海道	43.68319955115102	142.88704842214287	1988	37.8	mg/l	2.8	507	48.27	14.96	6.01			620		121
42	有毒温泉	有毒温泉-6	北海道	43.68317856670831	142.88703984563537	1988	80.7	mg/l	3	1220	159.3	50.78	19.65			584		234
43	勇駒別温泉	勇駒荘C	北海道	43.64845000696648	142.79112167354123	1957	45	mg/kg	6.1	1674	157	157	60.1		262	553	406	144.628
44	勇駒別温泉	勇駒荘A	北海道	43.64766511081545	142.7904152799653	1957	46	mg/kg	6.3	1853	190	171	46.4		295	691	428	163.861
45	勇駒別温泉	勇駒荘A	北海道	43.64843582573557	142.79112142007588	1977	47.3	mg/l	6.3	1859	190.4	162.5	110.5	0.84	298	569.5	386.7	174.9
46	勇駒別温泉	白樺荘	北海道	43.64917785943956	142.79437181200612	1977	48	mg/l	6.1	1742	126.8	192.1	91.9		285.3	564.6	234.9	192.7
47	勇駒別温泉	白雲荘	北海道	43.6480580694817	142.79513319554113	1977	43.9	mg/kg	5.8	1568	112.8	157.6	82.4		256.9	498.3	176.9	167.589
48	勇駒別温泉	湯の滝	北海道	43.653059273970904	142.80112100561544	1977	48	mg/kg	6.4	1504	106.4	172.4	81.8		248.4	494.9	179.3	163.089
49	勇駒別温泉	東川町	北海道	43.65138385219055	142.79942743356986	1959		mg/kg	6.55	1760	100	237.5	84.6		253.8	687.8	171.1	140.013
50	勇駒別温泉	大雪荘泉源横	北海道	43.64870714993643	142.78794792440334	1977	44.7	mg/l	5.9	1560	111	161.5	83.6	0.03	250.5	481.5	213.5	175.9
51	勇駒別温泉	大雪山自然科学研究所	北海道	43.65037952517539	142.7960684627773	1962	51	mg/kg	5.8	1598	198	206.9	14.6		230.7	560.3	202	208.48
52	勇駒別温泉	青年研修所	北海道	43.6504193112966	142.796122244357	1977	47.6	mg/l	6	1529	114.6	162.6	81.2	0.15	269.7	473.2	161.7	188.8
53	勇駒別温泉	弘法の湯	北海道	43.652454966127344	142.8021880893453	1977	45.6	mg/kg	6.1	1489	106.1	170.9	71.6		244.8	481	167.8	160.39
54	勇駒別温泉	仰岳荘栄楽館	北海道	43.65091317357769	142.79740480413975	1977	51.8	mg/l	6.1	1811	128.1	200	92.5	0.02	298	558	210.5	200
55	勇駒別温泉	仰岳荘	北海道	43.65086224509063	142.7972218974902	1957	51	mg/kg	5.9	1600	113	170	60.1		254	555	221	193.094
56	勇駒別温泉	旭の湯A	北海道	43.66079981203724	142.8158608658738	1977	52.8	mg/kg	5.98	1067	75.3	124.5	44.2		92.3	394.2	154.3	174.089
57	網走湖畔	木崎B	北海道	43.968330005362105	144.22026740011887	1978	26.7	mg/l	8.7	228	54.8	1.9	0.8		13.5	16.9	120.2	77.1
58	網走湖畔	木崎A	北海道	43.9666661373948	144.20333010607175	1978	30	mg/l	8.9	228	55.6	0.4	0.4	0.05	12.1	20.6	109.8	81.5
59	網走湖畔	網走市	北海道	43.97027612682169	144.2033274190729	1978	28.8	mg/l	8.8	229	55.5	0.9	0.5	0.02	11.8	20.2	115.9	77.1
60	網走湖畔	網走観光ホテル	北海道	43.992258296975315	144.2244655247672	1978	27	mg/l	9.1	173	40.2			0.04	12.5	9.8	76.9	63.7
61	網走湖畔		北海道	43.96777729044987	144.20333010563115	1978	29.7	mg/l	8.9	223	55.7	0.3	0.7	0.03	14.2	16.7	115.9	80.7
62	網走湖畔		北海道	43.98222020342206	144.22027296226895	1978	25.4	mg/l	8.8	814	289.7	3.8	0.3	0.02	241.3	7.6	377	84.3
63	網走湖畔	レインボー老人ホーム	北海道	43.965067316122074	144.2142336113936	1978	25.2	mg/l	8.9	235	50.7	0.2	0.2	0.06	13	16.1	109.2	77.4
64	末広温泉	東藻琴村2号	北海道	43.783585336035806	144.31280803285645	1978	46.2	mg/l	8.3	6921	2034	478.2	5.9	0.05	4009		43.9	37.6
65	末広温泉	東藻琴村1号	北海道	43.78363550478127	144.31294759134178	1978	26.3	mg/l	8.1	944	303	8	1.6	0.23	205.4	3.1	514.8	96.8
66	俣落鉱泉		北海道	43.6805586199435	144.8208411602706	1993	13.3	mg/l	6.7	2900	380	240	67	0.21	80	1800	180	49
67	峰浜温泉	斜里町	北海道	43.92657847546849	144.80725412493499	1979	44.2	mg/l	8.9	501	144.5	0.8	0.3	0.07	14.4	80.3	274.5	103.2
68	峰浜温泉	オジョボオマイ川B	北海道	43.966945462889925	144.8980607270502	1978	32.3	mg/l	7.6	2070	641	81.5	1.5	0.36	800.9	388.8	51.2	40.3
69	峰浜温泉	オジョボオマイ川A	北海道	43.96694124475261	144.89804772858906	1978	25	mg/l	8.3	2441	759	55.4	25.2	0.04	956.5	465.7	68.3	53.9
70	峰浜温泉		北海道	43.92661551182122	144.80738756888155	1998	42.1	mg/l	9	370	120	0.88		0.05	11.6	54.7	227	105
71	標津金山温泉	標津町	北海道	43.738374923337005	144.92342853353705	1979	41	mg/l	6.6	16983	3796	551.5	718.2	8.03	3136	6263	2233	32.4
72	尾岱沼温泉	尾岱沼泉源	北海道	43.567184376986056	145.22061138698578	1993	61.1	mg/l	7.8	9859	3503	161.2	1.7		5730		148.7	
73	白滝温泉		北海道	43.87591018253906	143.1657087284863	1977	35.8	mg/l	7.7	330	70.4	6.2	3.2	0.59	38.3	4	157.4	113
74	白滝温泉		北海道	43.875878962867795	143.1657680271199	1977	22.8	mg/l	7.6	197	34.6	5	2.7	0.15	21.5	2	90.3	78.9
75	白水川左支流		北海道	43.719283529908296	142.91385387754553	1985	78.5	mg/l	7.4	832	41	110	35	0.5	2	350	330	130
76	白水川	白水沢B	北海道	43.719219190186124	142.91395634513077	1968	65.3	mg/l	6.7	893	67	147.6	52.9	0.2	4.3	270	667	107.5
77	白水川	白水沢A	北海道	43.71926408897222	142.91399624689979	1968	54.5	mg/l	2.9	1159	25.3	53	19.3	15.3	3.6	680		216.1
78	白水川	白水川-7	北海道	43.71931548412529	142.91393359845435	1988	75.2	mg/l	6.7	32600	85.49	69.92	19.59		1	207	164	91.8
79	白水川	白水川-6	北海道	43.71931728272181	142.91409020189616	1988	16.9	mg/l	2.7	593	5.3	6.56	1.99		4.7	214	194	123
80	白水川	白水川-24	北海道	43.71933316310125	142.9139576462434	1988	82.2	mg/l	6.8	1270	92.11	154.87	41.84		2	640	378	165
81	白水川	白水川-14	北海道	43.71935349346416	142.91392498297088	1988	83.8	mg/l	7.6	1180	47.63	113.64	39.67			594	248	142
82	白水川	徴候の沢最上流	北海道	43.719221757166714	142.91380018182073	1977	83.2	mg/l	6.9	756	41.9	93	33.2	0.05	7.1	474.1	420.9	133.5
83	白水川	大北試錐B5	北海道	43.7191997796007	142.91391037694805	1977	77.8	mg/l	5.9	914	52.9	102.4	27.5	0.65	5.2	566.2	175.7	148.5
84	白水川	最上流A	北海道	43.71163832631757	142.90823111871768	1977	51.3	mg/l	6.9	1065	159	69	37	0.73	20.1	372.4	340.4	181.3
85	白水川	白水6号井	北海道	43.719234554702346	142.91384226257233	1991		mg/l	7.7	28	1.49	0.07	0.01		1.2		969	
86	白水川		北海道	43.71929669879969	142.9139061792943	1968	95.6	mg/kg	7	1244	82.2	114.6	26.2		9.2	725	384	152.706
87	白水川		北海道	43.71924880700762	142.9138761090401	1968	75.5	mg/kg	6.7	1163	82.5	141.3	43.8		3.8	500	476	146.244
88	湯の沢		北海道	43.732622955792934	144.83521111599117	1993	22.2	mg/l	6.5	6100	1200	480	73	2.2	2700	480	220	49
89	天人峡温泉	天人閣B	北海道	43.62187957796418	142.78090547496853	1957	50	mg/kg	6.5	2239	263	196	52.2		305	723	633	169.246
90	天人峡温泉	天人閣1号	北海道	43.62169224702257	142.78086899709956	1972	54.1	mg/kg	6.6	2486	351.6	212.7	121.8		418.9	798.9	591.9	189.248
91	天人峡温泉	天人閣	北海道	43.62159704033417	142.78049378859	1977	53.2	mg/l	6.5	2458	303.3	206.9	130.7	3.5	350.5	744.4	622.2	210
92	天人峡温泉	熊ノ沢-1	北海道	43.63256787686103	142.7733580324103	1988	35.7	mg/l	6.8	2830	448.76	156.04	132.66		506	760	684	169
93	天人峡温泉	羽衣荘	北海道	43.62096988203515	142.7793177215078	1957		mg/kg		2121	226	143	62.2		286	663	606	186.94
94	天人峡温泉	グランドホテル泉源下流	北海道	43.62089826964732	142.77890148160435	1987	32.7	mg/l	6.6	2350	278.83	184.64	119.86		340	640	507	195
95	天人峡温泉	グランドホテル泉源	北海道	43.620915527490524	142.7791141734638	1987	38.7	mg/l	7.8	1830	207.73	152.24	106.46		285	612	409	156
96	弟子屈温泉		北海道	43.5022190455388	144.45249037810598	1978	53.6	mg/kg	9.1	680	199.2	8.6	1.2		186.2	150.2	79.3	81.707
97	中岳温泉	中岳温泉-16	北海道	43.68186981090288	142.86109214095916	1988	31.5	mg/l	5	1140	169.86	73.05	18.45		180	594		113
98	中岳温泉	中岳温泉-10	北海道	43.68169421592638	142.86101498896718	1988	11.1	mg/l	3.5	330	36.12	26.21	4.4		39	176		52
99	中岳温泉	中岳温泉-1	北海道	43.6816637486872	142.86137894000947	1988	54.2	mg/l	5.4	1780	232.32	182.54	23.67		280	625	54.2	105
100	中岳温泉		北海道	43.681918475807755	142.86119080675317	1977	58	mg/kg	5.5	1749	282.3	206.1	19.6		300.9	856.3	85.4	114.693
101	池の湯	池の湯クラプ	北海道	43.60039047723371	144.3487051995062	1977	44.3	mg/kg	6.7	977	245.2	32	22		48.3	174.1	550.2	172.516
102	池の湯	赤湯温泉	北海道	43.601806020438275	144.34979891248747	1977	46.1	mg/kg	6.7	1055	264	39.2	22.3		62.9	190.9	617.3	174.516
103	池の湯	まつや旅館源泉	北海道	43.60049389259382	144.34849333802293	1982	42.5	mg/l	6.8	904	240	27	21		49	180	520	13
104	池の湯	イナセランド4号泉	北海道	43.60490329002779	144.35767908070483	1977	53.8	mg/kg	7.8	1098	286.3	32.6	21		61.7	144.4	702.7	210.319
105	池の湯	イナセランド2号泉	北海道	43.60486712378333	144.3576340499117	1977	5.3	mg/kg	7.9	1112	290.3	33.8	22		601	177.4	671	190.417
106	地獄谷	地獄谷5	北海道	43.532941792678	142.89368961289358	1975	84.5	mg/l	1.95	3536	20.1	68.6	9.9	32.32	17.2	2798.6		96.8
