# AIST/GSJ, Geochemical Map of Hot Spring Waters (GRES-DB ONSEN 2020), gbank.gsj.jp/gres-db
# source:    https://gbank.gsj.jp/gres-db/download/onsen/GSJ_DB_GRES-DB_ONSEN_2020.zip
# sha256:    09ceca4ebf6a4ba366c6093845f190b95e2fd3a2ad7c7d97f0ac074bc4a68cab
# licence:   政府標準利用規約 第2.0版 (CC BY 4.0 compatible), attribution required
# generated: scripts/fetch-aist.mjs -- do not edit by hand
#
# Positions are the AREA CENTROID of the polygon each row publishes. Every
# cell in this file is 187-191 m across, which is a publisher privacy
# choice rather than GPS scatter. The centroid is a distance key only: it
# must never be written to a record location or used to mint a pin.
ser	onsenName	sourceName	prefecture	lat	lng	measuredAt	celsius	unit	ph	tds	sodium	calcium	magnesium	iron	chloride	sulfate	bicarbonate	silica
1113	六川目	六川目	青森県	40.77348319316145	141.39885994913664		45	mg/kg	7.2		4370	295	232		7730	315	312	125
1114	早稲田	早稲田	青森県	40.76278796293513	141.35895665376913		49	mg/kg	7.4		2940	171	39.5		4820	321	177	42.3
1115	三沢空港	三沢空港	青森県	40.693835415389415	141.38727966629108		44	mg/kg	6.7		40.4	1.6	1		9.6	11.4	87.2	117
1116	平畑	平畑	青森県	40.694568227639	141.37070151554087		46.2	mg/kg	8.3		538	27.2	7.3		785	91.3	116	116
1117	駒沢	青葉	青森県	40.68281631226129	141.35134983512677		46	mg/kg	8.4		690	25.5	1.9		986	115	122	131
1118	小川原湖	小川原湖ドライブイン	青森県	40.69820787190628	141.3243529562033		43.5	mg/kg	8.6		244	15	2.4		330	26	140	138
1119	三沢	保養センター(浜)	青森県	40.68752146166665	141.40057066585217		43	mg/kg	7.8		50.5		0.5		9.2	18.9	97.2	127
1120	下久保	下久保	青森県	40.689199739731514	141.38033039638333		46.5	mg/kg	8.5		255	2.8	0.4		273	36	201	95.3
1121	桂		青森県	40.691309589868546	141.37596096271315													
1122	岡三沢	三沢共同	青森県	40.686454462953485	141.37802916618554		45.5	mg/kg	8.4		262	4.8	1		298	41.9	170	98.9
1123	中央町	中央町	青森県	40.6853866369095	141.36478727148767		44	mg/kg	8.2		294	12.8	3.4		372	51.6	171	120
1124	浜通り	浜通	青森県	40.68086201318	141.42918631458323		45.5	mg/kg	7.6		1660	60.1	8.8		2490	238	140	102
1125	太郎	太郎温泉1号泉	青森県	40.67544344380077	141.39202103704912		48	mg/kg	7.8		1750	110	23		2790	250	129	124
1126	木崎野	木崎野	青森県	40.67552963985098	141.37893258609702		43	mg/l	9		47.5	0.2	0		7.1	13	104	132
1127	古牧	古牧	青森県	40.664494070886015	141.35495426622438		42	mg/kg	8		195	10	3.4		264	24.1	107	137
1128	内山平	向洋	青森県	40.63166502270985	141.43529467670876		41	mg/kg	7.6		3050	250	45		4830	524	208	87.9
1129	下前田	石田温泉病院	青森県	40.60252447559322	141.43142096930313		42.5	mg/kg	7.8		2900	211	50.1		4520	603	281	140
1130	本町	百石中央	青森県	40.59425391858426	141.43026353638416		34	mg/kg	8.4		402	8	1.2		182	380	305	45.2
1131	鶉久保	鳥越	青森県	40.66139477090349	141.3795818287438		45.5											
1132	向山	下田ニューグリーン	青森県	40.615563345716225	141.38860926693957		46.5	mg/kg	7.3		7100	706	125		12100	932	105	79.9
1133	きざきの	菜飯	青森県	40.59946797493483	141.41954154487925		44.8	mg/kg	7.4		5160	898	105		9170	1150	165	95.6
1134	米寿	米寿	青森県	40.59888215198217	141.39148532870786		42.5	mg/kg	8.2		1680	83.2	19.5		2510	320	259	91.3
1135	神明前	えどはちファミリーパー	青森県	40.60806142572726	141.3649481371838		39.3	mg/kg	9		127	2.7	0.4		132	24	98.7	48
1136	七百	七百	青森県	40.64704471588135	141.3036899071959		41.7	mg/kg	8.4		432	18.8	1.2		600	72	122	170
1137	折茂	折茂	青森県	40.634600727525346	141.2917022968476		45	mg/kg	8.4		881	76.6	8.1		1350	160	165	85.3
1138	館野		青森県	40.62569946337108	141.33659797259946													
1139	下久保	下久保	青森県	40.62131225973448	141.3249276505737		49.8	mg/kg	7.5		1220	123	17.2		1980	180	156	90.6
1140	後田	後田	青森県	40.60403136593278	141.32509524033472		45.8	mg/kg	7.8		1650	80.4	17.6		2590	154	156	28.7
1141	六戸	六戸ヘルスセンター	青森県	40.59726576182463	141.32430123144647		45.5	mg/kg	7.8		1390	80.9	19.3		2180	203	141	70.7
1142	千歳森	千歳森	青森県	40.63693887785726	141.20123439948014		46.4	mg/kg	8.8		62	0	0		39.5	12	79.3	143
1143	里ノ沢	ホテル里の沢	青森県	40.61793971974108	141.25031472464775		50.3	mg/kg	8		2800	226	30		4700	270	76.3	128
1144	丑泊	丑泊	青森県	40.617195782564515	141.23433244000168		46	mg/kg	7.4		1540	128	10.9		2500	199	101	120
1145	みちのく	太素温	青森県	40.61770786351378	141.2185381185601		46	mg/kg	7.5		1350	78.1	11		2960	178	171	102
1146	十和田	十和田	青森県	40.60836725731653	141.2144951114595		50	mg/kg	7.5		5750	872	92.3		10200	899	48.7	58.1
1147	十和田ポニー	十和田ポニー	青森県	40.60978396952842	141.1720337720281		41	mg/kg	8.7		97.6	0	0		91.9	16.8	81.9	74.4
1148	奥入瀬	赤沼	青森県	40.59618969641888	141.1855620130837		42.5	mg/kg	8.8		76	0.3	0.4		65.1	16.8	92.1	132
1149	グリーンランド	グリーンランド	青森県	40.547488967543984	141.24004284668325		33	mg/kg	7.6		230	3.2	1.9		312	21	91.3	93.9
1150	柏木	一号泉	青森県	40.52748627983594	141.15303051569026		37	mg/kg	7.8		1380	508	3.7		3030	0	48.7	66.2
1151	谷地	あつ湯	青森県	40.633208948442125	140.92391367871016		40	mg/l	4.9		41	117	12		21	410		30
1152	猿倉	小笠原4号	青森県	40.626593536593305	140.90874899897463		80.5	mg/l	5.6		110	35.9	2.8		84.7	121	115	84
1153	十二里		青森県	40.6011714135705	141.04657324148374													
1154	十和田湖	十和田湖町№9	青森県	40.57971598256194	140.99473529640304		88	mg/l	6.4		35.9	42	30.5		22.9	193	50	0
1155	蔦	家族風呂	青森県	40.59728269765194	140.95278800521808		47.2	mg/kg	7		239	58.3	13.1		126	344	269	71
1156	沢田	沢田	青森県	40.58759746108675	141.18277452576027		14	mg/kg	6.8		13.8	16	8.5		10.6	23.8	91.4	59.1
1157	三日市	三日市	青森県	40.5893632870133	141.17531812137477		13	mg/kg	6.8		15.8	11.8	7.8		10.8	26	79.3	61.1
1158	冷水	冷水	青森県	40.58272272025463	141.05081586074522		11.5	mg/l	7.4		42.4	6.9	1.1		14.9	17.4	94	31
1159	栃久保	栃久保	青森県	40.585472545324144	141.02415462409542		21	mg/kg	7.4		268	89.9	6.1		124	574	69.9	9
1160	高館	一号井	青森県	40.53997854138472	141.4577264672301		33.5	mg/kg	7.4		713	9.6	3.7		638	188	649	119
1161	高館中央	高館中央	青森県	40.540081022516645	141.45862440012016		28.1	mg/kg	8.5		1.4	1	0.3		7.1	6.4	101	59.6
1162	海岸	八戸港湾運送	青森県	40.55374192815619	141.4958795053648		31	mg/kg	8.3		46	0.1	0		6.2	5.7	107	79.7
1163	河原木	月の湯	青森県	40.54588698707595	141.47255551924022		34	mg/kg	8.3		187	0.8	0.5		113	80.2	207	41
1164	長寿	長寿	青森県	40.53889823054122	141.47251371476483		39.5	mg/kg	8.4		620	14	5.6		765	148	226	24.3
1165	石堂	石堂病院	青森県	40.52966803993016	141.48091045028372		26.5	mg/kg	8.6		143	3	0.9		84.9	48.8	211	9.3
1166	貝鞍	貝鞍	青森県	40.52670351835657	141.48201247665267		22	mg/kg	8.2		306	41.6	22.3		464	107	146	24
1167	沼館		青森県	40.52999383307912	141.49942274161108													
1168	城下	本八戸駅前	青森県	40.516532135688614	141.49212430394		27.5	mg/kg	7.8		445	42.3	26.8		763	38	143	22.7
1169	小中野	栄湯	青森県	40.51806641655113	141.5063592424176		26	mg/kg	8.2		496	37	14.4		696	133	177	15.2
1170	八戸中央	卵湯温泉1号泉	青森県	40.51690184610268	141.5019284485471		32	mg/kg	7.9		430	52.1	18.2		630	168	153	26.2
1171	青葉	レインボー	青森県	40.508746207507386	141.50839787065695		33	mg/kg	8.2		590	70.9	33		956	155	171	43.6
1172	類家	類家温泉2号泉	青森県	40.50288999049657	141.5085205109528		42.2	mg/kg	7.8		484	62.7	22.2		715	182	159	14.7
1173	中居林	幸の湯	青森県	40.493240035253805	141.50261167648299		26.1	mg/kg	8.2		800	71	34		1350	74	171	33.3
1174	長苗代	寿楽	青森県	40.51860062754512	141.45928557579134		40	mg/kg	7.2		7560	549	360		13600	583	317	51.2
1175	根城	松園湯	青森県	40.50749329895137	141.46203523393652		18.1	mg/kg	8.4		400	4	2.8		326	125	378	35.4
1176	尻内	金太郎	青森県	40.50420469173043	141.44521531380735		51.2	mg/kg	6.8		3650	249	62.4		5900	300	452	14.3
1177	追切山	富士の湯	青森県	40.50842038517139	141.43497768903745		30.5	mg/kg	7.8		340	6.5	4.2		391	104	147	61.3
1178	櫛引	喜和楽園	青森県	40.463377921789224	141.4269585806196		27	mg/l	8		255	3.9	1.1		165	103	311	44.8
1179	五戸	五戸	青森県	40.5312139194431	141.30128299579124		11.5	mg/kg	6.8		9.2	17.2	4.6		10.5	11.3	76.5	47.9
1180	五戸まきば温泉	五戸まきば温泉	青森県	40.513559711867366	141.32932918595358		42	mg/kg	8		998	48	7		1440	172	223	88.2
1181	島守		青森県	40.40798138404976	141.4733700238048													
1182	斗賀・剣吉		青森県	40.4561631717501	141.34186167828437													
1183	小向		青森県	40.41392885963586	141.26387832636414													
1184	戸来	戸来	青森県	40.464298235811164	141.17451066549108		23	mg/l	8.3		12.6		2.8		14	6.2	51.5	0
1185	野沢	野沢	青森県	40.42087302656597	141.1115299143134		36.5	mg/kg	8.4		50.5	25.6	1		34	111	24.3	25.1
1186	泉山	長生堂山下治療院	青森県	40.3830508463849	141.28203063254296		12	mg/kg	6.5		3790	870	19.6		6700	962	36.8	42.3
1187	宝寿温泉	宝寿温泉	青森県	40.37238488639564	141.24155987353112		23.3	mg/kg	8.3		443	42.3	4.5		690	26.8	140	43.3
1188	田子	田子	青森県	40.322687373753006	141.1400978710869		35	mg/kg	7.6		62.1	10.4			42.8	20.2	114	89.7
1189	白萩平	白萩平	青森県	40.324121012589295	140.978668482916		7.6	mg/kg	5.8		8.6	15.2	4.5		7.8	1.5	121	18.3
1190	関	関一号泉	青森県	40.29165906008429	141.04650059214185		16	mg/kg	6.5		12.8	20	16		9.2	96.1	39.5	25
1191	遠部	遠瀬	青森県	40.28120152755046	141.07890486888166		9.9	mg/kg	3.7		4	2.7	0.9		4.9	34	0	2.7
1192	小湊	夏泊松島	青森県	40.93370266839424	140.9719088796026		47.5	mg/kg	7.6		582	68	4.9		981	549	193	28.7
1193	福館	福館	青森県	40.94169989503821	140.9598413073705		11	mg/kg	8.6		65.2	6.4	4.4		15.9	51.8	128	7
1194	浅虫	4号泉	青森県	40.888887440932535	140.86342305445328		76.2	mg/kg	8.4		200	138	0.1		199	460	30.5	59.5
1195	久栗坂	国立療養所青森病院	青森県	40.87129800726325	140.85719201554267		30	mg/kg	7.6		27.6	38.6	9.9		29.3	100	76.3	24.5
1196	草津	草津	青森県	40.82614569528662	140.76884089534022		28	mg/kg	7.6		20.5	6.4	2.3		17.7	3.4	57.1	73.9
1197	合浦	浪打病院	青森県	40.826844874811776	140.77593969330357		31.5											
1198	こやなぎ	林・こやなぎ	青森県	40.818850201710454	140.79391679361657		42.6	mg/l	7.8		158	595	0.7		53.1	1680	24.4	20
1199	松森	青森放送	青森県	40.81858695323263	140.77138655823626		28	mg/l	7.4		14.9	4	2.7		19.6	1.6	31.5	0
1200	戸山	二号泉	青森県	40.80666154259978	140.8012341280924		45	mg/kg	7.4		197	592	14.6		71	1820	12.2	33
1201	フラワー温泉	花月苑	青森県	40.80866964284659	140.79123395681447		46.2	mg/l	8.2		199	687	0.8		252	1740	18.3	54.3
1202	バイカル	バイカル	青森県	40.8030048356328	140.77403095446022		29	mg/kg	7.4		17.3	3.6	2.4		14.5	3	46.6	65.2
1203	月見野		青森県	40.79415826443383	140.80271484731125													
1204	里見	里見	青森県	40.76971344675167	140.78084130168173		36.5	mg/l	7.8		1.4	95.1	12.1		1350	1350	226	26
1205	四ツ石	四ツ石	青森県	40.7782331800123	140.76876824882936		45.4	mg/l	8.6		35	3.4	0.1		19.5	34.7	36.6	0
1206	松枝	あすなろ(2号泉)	青森県	40.77132497455194	140.76087861835094		39.7	mg/l	7.8		868	34.2	5.5		1060	358	208	87.7
1207	合子沢	松森	青森県	40.77127380959415	140.76079772743725		47.5	mg/kg	7.8		1480	46	15		2230	44.3	375	27.7
1208	雲谷	雲谷ゴルフ	青森県	40.74611520770499	140.79233543690782		45.4	mg/kg	8.6		35	3.4	0.1		19.5	34.7	36.6	15.5
1209	くさぶえ	くさぶえ	青森県	40.7446353486615	140.75872710558568		34.8	mg/l	7.3		470	42	14		767	52	97.6	66
1210	金浜	金浜	青森県	40.76750668098992	140.73260450807624		41.5	mg/kg	8.6		225	0.8	1.5		283	27.1	91.2	108
1211	下湯	B	青森県	40.7225632762231	140.74282706317425		98.9	mg/l	7.3		207	17	0.2		176	137	135	121
1212	田代新湯	田代新湯	青森県	40.71028064516541	140.9048483610281		53.8	mg/l	6.1		274	130	12		118	483	410	88
1213	田代平	田代平	青森県	40.70811527249464	140.90564768695086		54.1	mg/l	7.8		127	137	1.1		20	464	84	54
1214	田代元湯	冷の湯	青森県	40.708389600382134	140.899852637927		54.4	mg/l	6.2		244	146	10		88	500	324	84
1215	駒沢	みちのく民宿	青森県	40.700972221820955	140.8989484410415		45.8	mg/kg	6.8		115	82.8	25.8		35.1	450	111	110
1216	八甲田	八甲田六号泉	青森県	40.696441320044016	140.9114861195532		64.4	mg/l	7.1		199	108	33		58.4	590	269	202
1217	田茂萢	田茂萢	青森県	40.69143831614608	140.84668687620766		24.5	mg/kg	6.4		54.5	119	22.6		13.8	373	136	147
1218	寒水沢	青葉	青森県	40.679204745759186	140.82998470951003		47.3	mg/kg	6.8		1000	8.5	5.8		305	180	2250	50
1219	城ケ倉	3号泉	青森県	40.65611383386594	140.83739885020398		51	mg/l	7.3		60	14	7.4		29	32	179	103
1220	酸ケ湯	ふかしの湯	青森県	40.64996616486766	140.85207286309637		90.7	mg/l	1		78.6	432	322		1840	7880		383
1221	油川		青森県	40.85685040276107	140.69457345115873		25.5	mg/kg	8		131	10.4	3.4		131	17.5	154	61.8
1222	多喜の湯	多喜の湯	青森県	40.82574303066115	140.76474402563463		34	mg/kg	8		56.6	1.3	0.8		32.7	11.5	94.8	95.1
1223	大谷	大谷	青森県	40.82926946809873	140.72955232336494		28.2	mg/l	6.7		22.9	15.4	3.4		14.9	0	104	0
1224	沖館	沖館温泉2号	青森県	40.830897998016106	140.71768608090952		45	mg/l	8		232	53.5	10.7		407	24.7	122	0
1225	やまびこ	リゾート温泉やまびこ	青森県	40.834284282371186	140.6913941658198		46.4	mg/kg	7.4		4210	139	76.8		6950	0.1	494	126
1226	橋本	モーテル別館	青森県	40.808804201151034	140.75629731099926		39	mg/kg	7.3		945	118	39.1		1670	164	62.6	80.9
1227	花の湯	花の湯	青森県	40.8220188732743	140.72647360049646		29	mg/l	6.6		12.5	21.1	5.5		18.4	0	97.6	0
1228	西滝	西滝	青森県	40.82507993977548	140.71413789759646													
1229	稲元	稲元	青森県	40.82506859112438	140.7143554608883		45	mg/kg	7.1		4230	287	69.5		7300	24.3	244	108
1230	出町	出町	青森県	40.819794955712545	140.71969308828065		47	mg/l	8.7		59	2.8	0.7		17	12	131	0
1231	大湯	太陽レジャーランドニューターミナル二号泉	青森県	40.81560357375932	140.71352769889936		51	mg/kg	7.3		5570	372	123		9490	153	141	58.6
1232	大福湯	大福湯	青森県	40.81097162808537	140.72317071885408		37	mg/kg	8.3		31.2	5	0.5		11.7	6.7	79.3	61.8
1233	三内	三内ヘルスセンター	青森県	40.81535374695069	140.68655225455353		46	mg/l	7.4		4800	242	140		7950	395	366	0
1234	だるま		青森県	40.81824594889459	140.64525820736588		40.5	mg/kg	8.2		465	43	3.4		756	8	131	64.9
1235	青森仁医ラドンセンター	青山ラドン	青森県	40.80348302097691	140.70556472568808		30	mg/kg	8.4		39.4	8	3.4		14.3	10.7	110	65.7
1236	森と温泉	向陽荘	青森県	40.79073587290203	140.7121205316777		40.2	mg/kg	7.8		708	6.2	9.6		789	113	519	71.7
1237	細越	中粕	青森県	40.78957263575806	140.71226121827726		19	mg/kg	7.2		40.4	4.4	3.9		31.9	42.7	36.5	41.9
1238	鶴ケ坂・たらポッキ	鶴ケ坂長寿	青森県	40.79381999072945	140.63430735213703		45	mg/kg	8		3350	310	48		5810	128	211	11
1239	玉松	玉松	青森県	40.99469627944042	140.64749529811013		45.5	mg/kg	7.2		11200	1770	141		21000	106	160	87.6
1240	湯の沢	湯の沢	青森県	41.14993429466786	140.63472853123352		48	mg/kg	7.2		5430	121	73.6		8590	195	577	121
1241	平館不老不死	不老不死	青森県	41.15013047354242	140.63271474665748		40	mg/kg	8.6		260	128	0.1		48.2	766	24.4	30.5
1242	つるが浜名	浜名沢一号泉	青森県	41.17899566839113	140.4636524057366		37	mg/kg	8.2		209	2	1.9		186	26.7	231	77.8
1243	竜飛崎	ホテル竜飛	青森県	41.257037619201476	140.34767706180864		20	mg/kg	7.4		4540	1210	565		9680	1570	67.7	15.6
1244	王余魚沢	王余魚沢	青森県	40.72681155076203	140.66302355578208		54.4	mg/kg	8.8		1230	553	0.1		1680	1680	36.6	39.3
1245	杉沢	赤川	青森県	40.72131385851805	140.58996058555186		40	mg/kg	8.7		120	1.5	0.6		38.5	13	251	102
1246	稲村	稲村	青森県	40.70916739947273	140.59544115175805		48	mg/kg	8.6		145	3	0.4		84.3	10.3	324	107
1247	沖萢		青森県	40.70143015387974	140.59489935958578													
1248	浪岡	山正旅館	青森県	40.71081639580121	140.58616698145804		43.2	mg/kg	7.8		162	2.1	0.2		90.4	6.6	287	97.3
1249	女鹿沢	沖萢	青森県	40.71208319586383	140.57372354959287		48.1	mg/kg	8.6		241	2.7	0		207	43.8	232	150
1250	樽沢		青森県	40.709055002131294	140.55230613827064													
1251	下十川	健康温泉ポパイ	青森県	40.68913447093603	140.5593398932632		53.3	mg/kg	8.8		259	1.9	0		198	13.1	348	145
1252	福島	ときわリハビリテーション	青森県	40.679211779994205	140.56340534218504		24.8	mg/kg	7.2		24.3	9.6	4.9		12.7	9.3	91.1	73.2
1253	常盤	常盤村福祉センター	青森県	40.671344035938084	140.54723401608933		45	mg/kg	8.6		218	2.7	0.3		153	4	332	130
1254	榊	ときわ会病院	青森県	40.67333289626183	140.53311146470793		52	mg/kg	7.3		3350	120	7.3		5440	8.7	208	110
1255	豊田	喜龍	青森県	40.65532400447961	140.50594884270737		43	mg/kg	8.3		187	2.8	0.2		227	0	153	137
1256	西豊田	藤崎老人福祉センター	青森県	40.655731158651754	140.50203078578434		49	mg/kg	8.2		475	6.2	0.5		629	12	226	114
1257	藤崎	武元	青森県	40.653422639617474	140.4943558636175		41	mg/kg	8.4		113	3.6	1.5		87.8	1.8	171	117
1258	福井	福井1号泉	青森県	40.6538756812751	140.49139860892603		58.4	mg/kg	8.4		4470	78.4	5.9		7250	8.5	345	196
1259	西浅田	西浅田	青森県	40.646184934305325	140.50712491196148		44	mg/kg	8.8		69	3.2	0.2		28.1	7.5	141	116
1260	堂野前	リバーサイド温泉ホテル	青森県	40.650595133726775	140.56677173657022		44	mg/kg	8.5		72	6.7	0.1		94.9	12	45	112
1261	前田屋敷	喜楽井	青森県	40.64950836389339	140.55287558172773		45	mg/l	8.7		318	9.7	1.1		410	10	195	138
1262	川部	川部	青森県	40.64549765749342	140.52423325412778		45	mg/l	8.7		335	10	0.2		467	11	128	125
1263	畑中	老人憩の家	青森県	40.6325969985215	140.55054948361519		50.8	mg/l	8.7		1040	49	0.5		1630	10	183	174
1264	大袋	平川温泉旅館	青森県	40.618297818721494	140.5157890590805		51	mg/kg	8.6		116	2	0.7		98.6	0.5	164	138
1265	大和	大和	青森県	40.614119999300314	140.57750947178647		44	mg/kg	8.6		59.7	0	1		17.7	19.3	112	64.9
1266	猿賀	猿賀温泉4号泉	青森県	40.61941016003929	140.5668285630663		50	mg/l	8.8		198	4.6	0.1		217	16.3	153	130
1267	つがる	つがる	青森県	40.621452012687996	140.539404519488		47.2	mg/kg	8.6		200	10.4	0.3		240	11	146	86.7
1268	新屋町	新屋町	青森県	40.60469166438578	140.56736637394638		52.3	mg/l	8.4		342	8.4	0.3		460	3.2	183	83.3
1269	大川原	大川原	青森県	40.633322455904434	140.71337783314175		47	mg/kg	8		59.7		0.5		15.2	33.3	94.2	13
1270	南野田	黒石環境管理センター	青森県	40.69113644442588	140.5943870530507		48.3	mg/l	8.8		96	2.4	0.7		33.3	14	186	163
1271	黒石二双子	二双子	青森県	40.679716264198944	140.60390158168298		45.3	mg/kg	8.8		50	3	0.3		16.3	8	105	107
1272	下目内澤	並木宝石店	青森県	40.669877015284825	140.60589123542738		40.2	mg/kg	8.6		34.1	9.2	0.6		15.1	9	93.4	67.3
1273	富士見	富士見	青森県	40.66565132465041	140.59917377991738		42.8	mg/l	8.8		79.3	2.7	0.8		13.4	11.9	189	129
1274	上十川	第2岩木	青森県	40.66034429521252	140.61576167430127		26.4	mg/l	8.4		25.9	6.6	2.7		12	11	68.3	54
1275	末広	末広	青森県	40.65665501170948	140.5969230308847		36	mg/kg	8.2		24.7	8.3	1.8		15.7	9	67	71
1276	袋井	袋井	青森県	40.64097740373233	140.59018664134624		43.5	mg/kg	8.6		37.7	5.2	1		12.4	17.3	79	81.9
1277	追子野木	柳川	青森県	40.63506012506948	140.58407057879057		26	mg/kg	7.4		22	11.6	3.2		12.3	2.1	87.3	57.5
1278	宝	滝の口	青森県	40.62773728476773	140.61135287922696		53.5	mg/kg	7.6		644	1.8	1		789	0	463	169
1279	長者	長寿温泉3号泉	青森県	40.61412903794608	140.65712369239054		47.5	mg/kg	8		260	3	5.8		154	25.3	449	120
1280	中野		青森県	40.62051710127221	140.68886481186678													
1281	温湯	三号泉	青森県	40.60693610909977	140.66657338059062		60	mg/kg	7.6		383	24.8	1.5		404	223	122	47
1282	板留	板留	青森県	40.605964228346785	140.6823868884319		61.8	mg/l	7.5		234	239	4.5		204	774	74.4	100
1283	袋	サニーランド	青森県	40.60576196422982	140.67880814785994		54	mg/kg	7.2		350	322	5.4		390	936	109	56.3
1284	落合	平山温泉1・2号	青森県	40.606584175661126	140.67723919664087		55.9	mg/l	8.1		56.3	12.2	0.2		13.4	68.2	88.5	18.7
1285	要目		青森県	40.58570643763148	140.72575076574833			mg/l										
1286	大穴	大穴	青森県	40.58364759941426	140.7170376865369		62	mg/kg	8.3		199	5.6	0.5		146	176	72.1	53.3
1287	二庄内	新二庄内	青森県	40.58191025497456	140.69251374053812		81.5	mg/l	8		182	7.2	0.5		113	176	91.2	71.9
1288	沖浦	沖浦	青森県	40.57157755131083	140.68547055293564		76	mg/kg	8.5		264	32	1		319	136	109	41.9
1289	青荷	2号泉	青森県	40.57035556698543	140.72965757998978		48.2	mg/kg	7.6		75.7	13.4	0.4		64.7	66.4	61	34.7
1290	新屋	新屋	青森県	40.59175542010536	140.60037318705926		41.6	mg/kg	8.8		295	7.2	2.8		142	235	211	126
1291	平賀観光	平賀観光	青森県	40.587358603893136	140.58843478087192		48.4	mg/kg	8.5		182	8.4	0.2		38	285	88.5	137
1292	南田	アップル	青森県	40.58772370152499	140.5706203143873		51	mg/l	8.5		430	3	0.1		545	1.9	235	0
1293	町居	みちのく	青森県	40.58543153412879	140.58039498536363		51.5	mg/kg	8		448	2	0.7		390	191	292	105
1294	鷹の羽	鷹の羽	青森県	40.58971559073952	140.5633226911719		45	mg/kg	7.6		883	14.4	2.4		1310	11.5	198	110
1295	松崎	前田	青森県	40.59386068184389	140.53323720678685		58	mg/l	7.8		4000	185	4		6850	79	100	170
1296	柏木	せきかわ旅館	青森県	40.57984259951746	140.55969468174376		47	mg/kg	7.8		1230	21.8	7.8		1580	493	159	149
1297	沖館	沖館比山館	青森県	40.57192275452153	140.57759901967194		50	mg/kg	8		556	9.6	0.7		387	639	85.5	143
1298	石郷	柳田	青森県	40.57626382787872	140.5532411947688		48.8	mg/kg	7.5		720	20.3	6.4		986	290	119	147
1299	大坊	大坊	青森県	40.57116467728534	140.54247112839545		61	mg/kg	7		410	17.8	3.8		605	103	48.8	0
1300	高畑	向陽	青森県	40.565511065875974	140.57292505378683		44	mg/kg	7.8		680	24.5	75		760	710	104	75
1301	岩館	大龍	青森県	40.55915617741666	140.54291647651215		62.6	mg/kg	7.3		4000	157	32		6590	124	159	81.9
1302	広船	矢捨山	青森県	40.56682768074887	140.6117593182605		58.4	mg/kg	8.4		228	59	0.5		286	206	76.3	88.9
1303	唐竹	向川原田	青森県	40.565012089234685	140.5952262260425		60.5	mg/kg	7.6		320	140	1.4		469	360	42.7	43.4
1304	小国	山下	青森県	40.54046467539784	140.69017329604821		45.7	mg/l	8.2		106	12.7	0		120	64.4	43.9	27.3
1305	葛川	平六沢上	青森県	40.526068452806506	140.71878455640032		54	mg/kg	9		132	12.4	0.1		86	148	64.1	79.3
1306	切明	誉田	青森県	40.51019024983091	140.7364407625033		78.1	mg/kg	9.2		48	4	0		326	11	67.1	75.8
1307	井戸沢	井戸沢	青森県	40.52819424091095	140.7475662154262		50	mg/kg	8		440	25	0.6		425	285	161	62
1308	平六		青森県	40.53260628511077	140.75846891662363													
1309	温川		青森県	40.51433534726751	140.78608020887313		49.5	mg/kg	7.2		322	58.7	6.6		321	243	257	50.7
1310	八幡館		青森県	40.54028086599525	140.5621162233375													
1311	上牡丹森	湯とぴあ	青森県	40.51165497598217	140.5729893790273		30.3	mg/kg	7.4		13.7	3	1.2		16	0	30	2.5
1312	萢頭	萢頭	青森県	40.51077655175456	140.57736670205648		64	mg/kg	8.2		178	25.5	1.8		169	128	113	59
1313	大鰐	青柳温泉3号泉	青森県	40.52095303010998	140.5750583351563		78	mg/kg	6.8		690	210	8.2		1030	548	141	46.3
1314	苦木	苦木観音橋の湯	青森県	40.51545529180819	140.60077161339123		43	mg/kg	8		147	18.8	1		149	128	53.2	43
1315	長峰	正観湯	青森県	40.51156878958824	140.6113210934846		46	mg/kg	7.7		62.6	1.2	0.7		28.3	55.5	66.8	67.9
1316	駒木沢		青森県	40.52239922089903	140.63943043300216													
1317	島田	島田	青森県	40.47096312206131	140.5806709330002		13.6	mg/kg	7.4		6.6	4.8	1.3		4.9	1.9	30.5	12.7
1318	古懸		青森県	40.49005534944789	140.62534756926377													
1319	碇ケ関	興栄	青森県	40.474105371574126	140.6300348583529		51	mg/kg	6.5		4500	640	197		8140	127	1210	80.2
1320	折橋	関所	青森県	40.44330945496112	140.63390053004724		72.6	mg/kg	7.2		3500	750	93.8		6390	406	683	87.3
1321	久吉	大川下際	青森県	40.43570268751927	140.7133632472778		49	mg/kg	6.4		1540	150	79		2100	40.1	1060	47.5
1322	程ケ平間欠泉	程ケ平間欠泉1	青森県	40.44418921383512	140.65433999367855		50.3	mg/l	6.5		426	623	78.8		583	870	1350	0
1323	古遠部	遠部沢	青森県	40.430371434178475	140.67039528980345		49	mg/kg	7.4		248	160	4.9		280	492	73.2	37.7
1324	藾ケ平	藾ケ平	青森県	40.44519506123213	140.6484682821769		47.5	mg/kg	7.7		317	72.8	2.4		260	362	201	40.3
1325	津刈	津刈川	青森県	40.44615273885537	140.63993505919163		54	mg/kg	6.8		460	601	122		579	939	1520	137
1326	津軽湯ノ沢	新湯の沢	青森県	40.42946971991631	140.61375074653375		72.8	mg/kg	7		5470	1180	187		11000	382	623	62.8
