# NOAA NCEI Thermal Springs List for the United States (1981)
# source:    https://www.ncei.noaa.gov/data/oceans/archive/arc0238/0303600/1.1/data/0-data/geothermal_database/data/NCEI-thermal-springs.xlsx
# doi:       10.25921/c8p0-zs06
# sha256:    bb3e65d8fbf34d25b6e6d071f86dc5d67f68ee022d55ff7aac428d29283d351c
# licence:   CC0-1.0 Public Domain Dedication
# retrieved: 2026-09-07
# Generated by scripts/fetch-ncei.mjs. Do not edit by hand.
state	lat	lng	name	tf	tc
AK	54.23	-165.66	HOT SPRINGS ON AKUN ISLAND	H	H
AK	52.19	-174.25	HOT SPRINGS ON ATKA ISLAND	167	75
AK	52.34	-174.26	HOT SPRINGS ON ATKA ISLAND	H	H
AK	52.27	-174.042	HOT SPRINGS ON ATKA ISLAND	H	H
AK	65.233000000000004	-144.483	HOT SPRINGS ON BIG WINDY CREEK	H	H
AK	53.95	-168.03700000000001	HOT SPRINGS ON BOGOSLOF ISLAND	H	H
AK	52.042000000000002	-176.108	HOT SPRINGS ON GREAT SITKIN ISLAND	210	99
AK	66.233000000000004	-157.583	HOT SPRINGS ON HAWK RIVER	122	50
AK	65.983000000000004	-150.56	HOT SPRINGS ON LOWER RAY RIVER	142	61
AK	61.363	-157.733	HOT SPRINGS ON UPPER CHUILNUK RIVER	H	H
AK	65.215999999999994	-149.99299999999999	HUTLINANA HOT SPRINGS	109	43
AK	66.341999999999999	-150.85	KANUTI HOT SPRINGS	151	66
AK	65.81	-151.23699999999999	KILO HOT SPRING	122	50
AK	65.459000000000003	-153.31200000000001	LITTLE MELOZITNA HOT SPRINGS	176	80
AK	53.892000000000003	-166.93	MAKUSHIN VOLCANO FUMAROLES	310	154
AK	65.006	-150.63300000000001	MANLEY HOT SPRINGS	133	56
AK	65.129000000000005	-154.69200000000001	MELOZI (MELOZITNA) SPRINGS	131	55
AK	62.058	-145.22200000000001	MINERAL SPRING (LOWER KLAWASI CONE)	82	28
AK	57.643999999999998	-135.333	NYLEN HOT SPRINGS	120	49
AK	69.33	-144.04400000000001	OKPILAK SPRINGS	119	49
AK	65.093000000000004	-164.922	PILGRIM SPRINGS	178	81
