# Nevada Bureau of Mines and Geology, AASG state geothermal data (aqSpringChemistry)
# source:    https://web2.nbmg.unr.edu/ArcGIS/rest/services/
# taken:     2026-09-11
# sha256:    40a3ce8bd49cab02a7e3fd3cc45f85949dfd936eb460fdbc7cc0e2dffd60edbb
# licence:   US state geological survey data, public domain.
# generated: scripts/fetch-nbmg.mjs -- do not edit by hand
#
# A SNAPSHOT, NOT A PINNED DERIVATION. The upstream is a query service
# with no published archive, so there is nothing to hash but this file.
# data:build is reproducible from it; the fetch is not.
#
# Chemistry only. This service also publishes FluidTemperature_C and it is
# NOT read: it yields twelve springs against the atlas and that seam is
# closed, not deferred.
#
# rows:      6319 across 1411 sampling sites (NV:5405, CO:914)
# values:    calcium 3976, magnesium 1929, sodium 3699, potassium 3569, silica 3668, chloride 4168, sulfate 3902, bicarbonate 1323, iron 1438, ph 1947
# complete:  every service answered
site	name	state	lat	lng	measuredAt	calcium	magnesium	sodium	potassium	silica	chloride	sulfate	bicarbonate	iron	ph
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 40_10/	Grand County Hot Sulphur Springs	CO	40.07472	-106.11111	1975	15		430	22	31	140	130	828		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 40_12/	Grand County Hot Sulphur Springs	CO	40.07472	-106.11111	1975	16		430	23	30	140	150	790		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 40_14/	Grand County Hot Sulphur Springs	CO	40.07472	-106.11111	2010	15		450	22	33	130	110			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 40_15/	Grand County Hot Sulphur Springs	CO	40.07472	-106.11111	2010	14		450	22	33	140	100			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 40_16/	Grand County Hot Sulphur Springs	CO	40.07472	-106.11111	2010	13		440	21	32	140	110			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 40_17/	Grand County Hot Sulphur Springs	CO	40.07472	-106.11111	2010	10		460	22	33	150	120			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 40_9/	Grand County Hot Sulphur Springs	CO	40.07472	-106.11111	1975	15		440	25	35	140	140	814		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 55_18/	Chaffee County Mt. Princeton Hot Springs	CO	38.73278	-106.17417	1975	6.4		84	2.8	72	8.3	92	75		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 55_19/	Chaffee County Mt. Princeton Hot Springs	CO	38.73278	-106.17417	1993	4.15		91.85	2.41	102	13	101			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 55_22/	Chaffee County Mt. Princeton Hot Springs	CO	38.73222	-106.175	1975	5.8		73	2.5	68	6.4	81	72		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_ 55_23/	Chaffee County Mt. Princeton Hot Springs	CO	38.73222	-106.17556	1975	8.5		60	2.3	71	3.9	67	72		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_01-1/	Mineral County Antelope Warm Spring	CO	37.74333	-107.03722	1975	1.7	0.6	43	0.3	39	3.5	3.2			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_01-1/	Mineral County Antelope Warm Spring	CO	37.74333	-107.03722	1975	1.7		43	0.3	39	3.5	3.2	77		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_01-1/	Mineral County Antelope Warm Spring	CO	37.74333	-107.03722	1975	4	0.3	44	0.1	41	2.8	2.2			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_01-1/	Mineral County Antelope Warm Spring	CO	37.74333	-107.03722	1975	4		44	0.1	41	2.8	2.2	110		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_01-1/	Mineral County Antelope Warm Spring	CO	37.74333	-107.03722	1975										8.9
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_01-1/	Mineral County Antelope Warm Spring	CO	37.74333	-107.03722	1993										9.1
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_02-1/	Moffat County Axial	CO	40.30028	-107.78417	1975	140	140	71	14	18	17	530			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_02-1/	Moffat County Axial	CO	40.30028	-107.78417	1975	140		71	14	18	17	530	630		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_02-1/	Moffat County Axial	CO	40.30028	-107.78417	1975										7.1
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_03-1/	Mineral County Birdsie Warm Spring	CO	37.72833	-107.05361	1975										8.6
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_03-1/	Mineral County Birdsie Warm Spring	CO	37.72833	-107.05361	1993										9.2
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_04-1/	Jackson County Brands Ranch 	CO	40.70444	-106.53444	1975										6
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_04-1/	Jackson County Brands Ranch	CO	40.70444	-106.53444	1993										6.4
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_05-1/	Chaffee County Browns Canyon Warm Spring	CO	38.65361	-106.05306	1975	9		170	2.4	28					
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_05-1/	Chaffee County Browns Canyon Warm Spring	CO	38.65361	-106.05306	1975	9		170	2.4	28					
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_05-1/	Chaffee County Browns Canyon Warm Spring	CO	38.65361	-106.05306	1975										8
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_05-2/	Chaffee County Browns Canyon	CO	38.64444	-106.07806	1975	7		170	2.7	47					
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_05-2/	Chaffee County Browns Canyon	CO	38.64444	-106.07806	1975	7		170	2.7	47					
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_05-3/	Chaffee County Browns Grotto Warm Spring	CO	38.63694	-106.07389	1975	18		180	3.4	46					
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_05-3/	Chaffee County Browns Grotto Warm Spring	CO	38.63694	-106.07389	1975	18		180	3.4	46					
